Running on host: studgpu-node01.inf.ethz.ch
In directory: /cluster/courses/3dv/data/team-25/decentralized_marl/catmouse_experiments
Starting on: Thu Jun 27 00:05:08 CEST 2024
SLURM_JOB_ID: 23135
using cuda
episode: 21900 | avg score: 112.2 | learning_steps: 8265
episode: 22000 | avg score: 105.5 | learning_steps: 8302
episode: 22100 | avg score: 80.1 | learning_steps: 8340
episode: 22200 | avg score: 97.0 | learning_steps: 8378
episode: 22300 | avg score: 113.3 | learning_steps: 8416
episode: 22400 | avg score: 131.9 | learning_steps: 8453
episode: 22500 | avg score: 112.4 | learning_steps: 8490
episode: 22600 | avg score: 93.2 | learning_steps: 8528
episode: 22700 | avg score: 125.9 | learning_steps: 8566
episode: 22800 | avg score: 79.9 | learning_steps: 8604
episode: 22900 | avg score: 98.7 | learning_steps: 8641
episode: 23000 | avg score: 111.1 | learning_steps: 8679
episode: 23100 | avg score: 112.9 | learning_steps: 8716
episode: 23200 | avg score: 73.3 | learning_steps: 8754
episode: 23300 | avg score: 89.9 | learning_steps: 8793
episode: 23400 | avg score: 124.9 | learning_steps: 8830
episode: 23500 | avg score: 106.3 | learning_steps: 8868
episode: 23600 | avg score: 96.0 | learning_steps: 8906
episode: 23700 | avg score: 80.5 | learning_steps: 8944
episode: 23800 | avg score: 97.0 | learning_steps: 8982
episode: 23900 | avg score: 108.5 | learning_steps: 9019
episode: 24000 | avg score: 110.3 | learning_steps: 9057
episode: 24100 | avg score: 105.8 | learning_steps: 9095
episode: 24200 | avg score: 111.2 | learning_steps: 9133
episode: 24300 | avg score: 92.1 | learning_steps: 9170
episode: 24400 | avg score: 111.1 | learning_steps: 9207
episode: 24500 | avg score: 88.3 | learning_steps: 9246
episode: 24600 | avg score: 116.9 | learning_steps: 9284
episode: 24700 | avg score: 80.7 | learning_steps: 9322
episode: 24800 | avg score: 71.4 | learning_steps: 9360
episode: 24900 | avg score: 111.6 | learning_steps: 9397
episode: 25000 | avg score: 130.1 | learning_steps: 9434
episode: 25100 | avg score: 88.8 | learning_steps: 9472
episode: 25200 | avg score: 79.0 | learning_steps: 9510
episode: 25300 | avg score: 84.1 | learning_steps: 9547
episode: 25400 | avg score: 90.5 | learning_steps: 9585
episode: 25500 | avg score: 95.1 | learning_steps: 9622
episode: 25600 | avg score: 109.2 | learning_steps: 9659
episode: 25700 | avg score: 132.5 | learning_steps: 9695
episode: 25800 | avg score: 90.2 | learning_steps: 9734
episode: 25900 | avg score: 98.7 | learning_steps: 9771
episode: 26000 | avg score: 106.9 | learning_steps: 9808
episode: 26100 | avg score: 83.7 | learning_steps: 9846
episode: 26200 | avg score: 83.0 | learning_steps: 9884
episode: 26300 | avg score: 92.7 | learning_steps: 9921
episode: 26400 | avg score: 79.5 | learning_steps: 9958
episode: 26500 | avg score: 73.6 | learning_steps: 9996
episode: 26600 | avg score: 57.7 | learning_steps: 10034
episode: 26700 | avg score: 63.0 | learning_steps: 10071
episode: 26800 | avg score: 15.9 | learning_steps: 10110
episode: 26900 | avg score: 61.4 | learning_steps: 10148
episode: 27000 | avg score: 54.4 | learning_steps: 10185
episode: 27100 | avg score: 69.0 | learning_steps: 10223
episode: 27200 | avg score: 67.7 | learning_steps: 10261
episode: 27300 | avg score: 89.6 | learning_steps: 10298
episode: 27400 | avg score: 99.0 | learning_steps: 10336
episode: 27500 | avg score: 114.4 | learning_steps: 10373
episode: 27600 | avg score: 113.0 | learning_steps: 10410
episode: 27700 | avg score: 102.6 | learning_steps: 10448
episode: 27800 | avg score: 129.0 | learning_steps: 10485
episode: 27900 | avg score: 101.7 | learning_steps: 10522
episode: 28000 | avg score: 54.6 | learning_steps: 10560
episode: 28100 | avg score: 45.6 | learning_steps: 10599
episode: 28200 | avg score: 72.5 | learning_steps: 10637
episode: 28300 | avg score: 36.1 | learning_steps: 10675
